code,coursename,num_of_enrollees,semester,year
BSN,Bachelor Of Science In Nursing,426,1st,2009
BSAg,Bachelor of Science in Agriculture,490,2nd,2009
BAC,Bachelor Of Arts In Communication,58,2nd,2009
POLSCI,Bachelor Of Arts In Political Science,145,2nd,2009
BSSW,Bachelor Of Science In Social Work,199,2nd,2009
BSA,Bachelor Of Science In Accountancy,365,2nd,2009
BSAIS,Bachelor Of Science In Accounting Information System,432,2nd,2009
Entrep,Bs In Entrepreneurship,352,2nd,2009
BSBA,Bachelor Of Science In Business Administration,423,2nd,2009
BSCS,Bachelor Of Science In Computer Science,362,2nd,2009
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,164,2nd,2009
BSIT,Bachelor Of Science In Information Technology,458,2nd,2009
CRIM,Bachelor Of Science In Criminology,441,2nd,2009
BEEd,Bachelor Of Elementary Education,479,2nd,2009
BSEd,Bachelor Of Secondary Education,248,2nd,2009
BSCE,Bachelor Of Science In Civil Engineering,96,2nd,2009
BSCpE,Bachelor Of Science In Computer Engineering,376,2nd,2009
BSEE,Bachelor Of Science In Electrical Engineering,105,2nd,2009
BSHM,Bachelor Of Science In Hospitality Management,422,2nd,2009
BSTM,Bachelor Of Science In Tourism Management,142,2nd,2009
BSBIO,Bachelor Of Science In Biology,483,2nd,2009
BIT,Bachelor In Industrial Technology,398,2nd,2009
BSF,Bachelor Of Science In Fisheries,197,2nd,2009
BSM,Bachelor Of Science In Midwifery,191,2nd,2009
BSN,Bachelor Of Science In Nursing,260,2nd,2009
BSAg,Bachelor of Science in Agriculture,195,Summer,2009
BAC,Bachelor Of Arts In Communication,308,Summer,2009
POLSCI,Bachelor Of Arts In Political Science,438,Summer,2009
BSSW,Bachelor Of Science In Social Work,262,Summer,2009
BSA,Bachelor Of Science In Accountancy,233,Summer,2009
BSAIS,Bachelor Of Science In Accounting Information System,177,Summer,2009
Entrep,Bs In Entrepreneurship,323,Summer,2009
BSBA,Bachelor Of Science In Business Administration,198,Summer,2009
BSCS,Bachelor Of Science In Computer Science,58,Summer,2009
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,56,Summer,2009
BSIT,Bachelor Of Science In Information Technology,468,Summer,2009
CRIM,Bachelor Of Science In Criminology,109,Summer,2009
BEEd,Bachelor Of Elementary Education,413,Summer,2009
BSEd,Bachelor Of Secondary Education,396,Summer,2009
BSCE,Bachelor Of Science In Civil Engineering,318,Summer,2009
BSCpE,Bachelor Of Science In Computer Engineering,51,Summer,2009
BSEE,Bachelor Of Science In Electrical Engineering,380,Summer,2009
BSHM,Bachelor Of Science In Hospitality Management,407,Summer,2009
BSTM,Bachelor Of Science In Tourism Management,364,Summer,2009
BSBIO,Bachelor Of Science In Biology,338,Summer,2009
BIT,Bachelor In Industrial Technology,82,Summer,2009
BSF,Bachelor Of Science In Fisheries,155,Summer,2009
BSM,Bachelor Of Science In Midwifery,249,Summer,2009
BSN,Bachelor Of Science In Nursing,376,Summer,2009
BSAg,Bachelor of Science in Agriculture,180,1st,2010
BAC,Bachelor Of Arts In Communication,462,1st,2010
POLSCI,Bachelor Of Arts In Political Science,103,1st,2010
BSSW,Bachelor Of Science In Social Work,244,1st,2010
BSA,Bachelor Of Science In Accountancy,359,1st,2010
BSAIS,Bachelor Of Science In Accounting Information System,334,1st,2010
Entrep,Bs In Entrepreneurship,182,1st,2010
BSBA,Bachelor Of Science In Business Administration,419,1st,2010
BSCS,Bachelor Of Science In Computer Science,245,1st,2010
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,233,1st,2010
BSIT,Bachelor Of Science In Information Technology,122,1st,2010
CRIM,Bachelor Of Science In Criminology,261,1st,2010
BEEd,Bachelor Of Elementary Education,157,1st,2010
BSEd,Bachelor Of Secondary Education,144,1st,2010
BSCE,Bachelor Of Science In Civil Engineering,153,1st,2010
BSCpE,Bachelor Of Science In Computer Engineering,359,1st,2010
BSEE,Bachelor Of Science In Electrical Engineering,94,1st,2010
BSHM,Bachelor Of Science In Hospitality Management,333,1st,2010
BSTM,Bachelor Of Science In Tourism Management,57,1st,2010
BSBIO,Bachelor Of Science In Biology,348,1st,2010
BIT,Bachelor In Industrial Technology,274,1st,2010
BSF,Bachelor Of Science In Fisheries,253,1st,2010
BSM,Bachelor Of Science In Midwifery,231,1st,2010
BSN,Bachelor Of Science In Nursing,184,1st,2010
BSAg,Bachelor of Science in Agriculture,382,2nd,2010
BAC,Bachelor Of Arts In Communication,343,2nd,2010
POLSCI,Bachelor Of Arts In Political Science,167,2nd,2010
BSSW,Bachelor Of Science In Social Work,303,2nd,2010
BSA,Bachelor Of Science In Accountancy,397,2nd,2010
BSAIS,Bachelor Of Science In Accounting Information System,393,2nd,2010
Entrep,Bs In Entrepreneurship,266,2nd,2010
BSBA,Bachelor Of Science In Business Administration,446,2nd,2010
BSCS,Bachelor Of Science In Computer Science,210,2nd,2010
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,438,2nd,2010
BSIT,Bachelor Of Science In Information Technology,408,2nd,2010
CRIM,Bachelor Of Science In Criminology,110,2nd,2010
BEEd,Bachelor Of Elementary Education,357,2nd,2010
BSEd,Bachelor Of Secondary Education,251,2nd,2010
BSCE,Bachelor Of Science In Civil Engineering,120,2nd,2010
BSCpE,Bachelor Of Science In Computer Engineering,226,2nd,2010
BSEE,Bachelor Of Science In Electrical Engineering,459,2nd,2010
BSHM,Bachelor Of Science In Hospitality Management,219,2nd,2010
BSTM,Bachelor Of Science In Tourism Management,440,2nd,2010
BSBIO,Bachelor Of Science In Biology,225,2nd,2010
BIT,Bachelor In Industrial Technology,151,2nd,2010
BSF,Bachelor Of Science In Fisheries,133,2nd,2010
BSM,Bachelor Of Science In Midwifery,448,2nd,2010
BSN,Bachelor Of Science In Nursing,463,2nd,2010
BSAg,Bachelor of Science in Agriculture,419,Summer,2010
BAC,Bachelor Of Arts In Communication,182,Summer,2010
POLSCI,Bachelor Of Arts In Political Science,263,Summer,2010
BSSW,Bachelor Of Science In Social Work,355,Summer,2010
BSA,Bachelor Of Science In Accountancy,171,Summer,2010
BSAIS,Bachelor Of Science In Accounting Information System,417,Summer,2010
Entrep,Bs In Entrepreneurship,249,Summer,2010
BSBA,Bachelor Of Science In Business Administration,495,Summer,2010
BSCS,Bachelor Of Science In Computer Science,162,Summer,2010
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,198,Summer,2010
BSIT,Bachelor Of Science In Information Technology,313,Summer,2010
CRIM,Bachelor Of Science In Criminology,123,Summer,2010
BEEd,Bachelor Of Elementary Education,76,Summer,2010
BSEd,Bachelor Of Secondary Education,251,Summer,2010
BSCE,Bachelor Of Science In Civil Engineering,76,Summer,2010
BSCpE,Bachelor Of Science In Computer Engineering,148,Summer,2010
BSEE,Bachelor Of Science In Electrical Engineering,399,Summer,2010
BSHM,Bachelor Of Science In Hospitality Management,135,Summer,2010
BSTM,Bachelor Of Science In Tourism Management,177,Summer,2010
BSBIO,Bachelor Of Science In Biology,180,Summer,2010
BIT,Bachelor In Industrial Technology,318,Summer,2010
BSF,Bachelor Of Science In Fisheries,153,Summer,2010
BSM,Bachelor Of Science In Midwifery,216,Summer,2010
BSN,Bachelor Of Science In Nursing,135,Summer,2010
BSAg,Bachelor of Science in Agriculture,483,1st,2011
BAC,Bachelor Of Arts In Communication,181,1st,2011
POLSCI,Bachelor Of Arts In Political Science,254,1st,2011
BSSW,Bachelor Of Science In Social Work,324,1st,2011
BSA,Bachelor Of Science In Accountancy,157,1st,2011
BSAIS,Bachelor Of Science In Accounting Information System,353,1st,2011
Entrep,Bs In Entrepreneurship,179,1st,2011
BSBA,Bachelor Of Science In Business Administration,359,1st,2011
BSCS,Bachelor Of Science In Computer Science,128,1st,2011
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,419,1st,2011
BSIT,Bachelor Of Science In Information Technology,430,1st,2011
CRIM,Bachelor Of Science In Criminology,237,1st,2011
BEEd,Bachelor Of Elementary Education,250,1st,2011
BSEd,Bachelor Of Secondary Education,277,1st,2011
BSCE,Bachelor Of Science In Civil Engineering,374,1st,2011
BSCpE,Bachelor Of Science In Computer Engineering,239,1st,2011
BSEE,Bachelor Of Science In Electrical Engineering,431,1st,2011
BSHM,Bachelor Of Science In Hospitality Management,405,1st,2011
BSTM,Bachelor Of Science In Tourism Management,279,1st,2011
BSBIO,Bachelor Of Science In Biology,445,1st,2011
BIT,Bachelor In Industrial Technology,316,1st,2011
BSF,Bachelor Of Science In Fisheries,483,1st,2011
BSM,Bachelor Of Science In Midwifery,343,1st,2011
BSN,Bachelor Of Science In Nursing,425,1st,2011
BSAg,Bachelor of Science in Agriculture,200,2nd,2011
BAC,Bachelor Of Arts In Communication,427,2nd,2011
POLSCI,Bachelor Of Arts In Political Science,424,2nd,2011
BSSW,Bachelor Of Science In Social Work,321,2nd,2011
BSA,Bachelor Of Science In Accountancy,435,2nd,2011
BSAIS,Bachelor Of Science In Accounting Information System,469,2nd,2011
Entrep,Bs In Entrepreneurship,364,2nd,2011
BSBA,Bachelor Of Science In Business Administration,403,2nd,2011
BSCS,Bachelor Of Science In Computer Science,128,2nd,2011
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,127,2nd,2011
BSIT,Bachelor Of Science In Information Technology,500,2nd,2011
CRIM,Bachelor Of Science In Criminology,55,2nd,2011
BEEd,Bachelor Of Elementary Education,472,2nd,2011
BSEd,Bachelor Of Secondary Education,345,2nd,2011
BSCE,Bachelor Of Science In Civil Engineering,243,2nd,2011
BSCpE,Bachelor Of Science In Computer Engineering,305,2nd,2011
BSEE,Bachelor Of Science In Electrical Engineering,160,2nd,2011
BSHM,Bachelor Of Science In Hospitality Management,471,2nd,2011
BSTM,Bachelor Of Science In Tourism Management,337,2nd,2011
BSBIO,Bachelor Of Science In Biology,50,2nd,2011
BIT,Bachelor In Industrial Technology,374,2nd,2011
BSF,Bachelor Of Science In Fisheries,224,2nd,2011
BSM,Bachelor Of Science In Midwifery,288,2nd,2011
BSN,Bachelor Of Science In Nursing,204,2nd,2011
BSAg,Bachelor of Science in Agriculture,434,Summer,2011
BAC,Bachelor Of Arts In Communication,251,Summer,2011
POLSCI,Bachelor Of Arts In Political Science,244,Summer,2011
BSSW,Bachelor Of Science In Social Work,473,Summer,2011
BSA,Bachelor Of Science In Accountancy,392,Summer,2011
BSAIS,Bachelor Of Science In Accounting Information System,339,Summer,2011
Entrep,Bs In Entrepreneurship,417,Summer,2011
BSBA,Bachelor Of Science In Business Administration,271,Summer,2011
BSCS,Bachelor Of Science In Computer Science,353,Summer,2011
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,81,Summer,2011
BSIT,Bachelor Of Science In Information Technology,109,Summer,2011
CRIM,Bachelor Of Science In Criminology,118,Summer,2011
BEEd,Bachelor Of Elementary Education,316,Summer,2011
BSEd,Bachelor Of Secondary Education,85,Summer,2011
BSCE,Bachelor Of Science In Civil Engineering,92,Summer,2011
BSCpE,Bachelor Of Science In Computer Engineering,87,Summer,2011
BSEE,Bachelor Of Science In Electrical Engineering,119,Summer,2011
BSHM,Bachelor Of Science In Hospitality Management,479,Summer,2011
BSTM,Bachelor Of Science In Tourism Management,330,Summer,2011
BSBIO,Bachelor Of Science In Biology,491,Summer,2011
BIT,Bachelor In Industrial Technology,409,Summer,2011
BSF,Bachelor Of Science In Fisheries,203,Summer,2011
BSM,Bachelor Of Science In Midwifery,390,Summer,2011
BSN,Bachelor Of Science In Nursing,192,Summer,2011
BSAg,Bachelor of Science in Agriculture,167,1st,2012
BAC,Bachelor Of Arts In Communication,351,1st,2012
POLSCI,Bachelor Of Arts In Political Science,124,1st,2012
BSSW,Bachelor Of Science In Social Work,54,1st,2012
BSA,Bachelor Of Science In Accountancy,473,1st,2012
BSAIS,Bachelor Of Science In Accounting Information System,199,1st,2012
Entrep,Bs In Entrepreneurship,105,1st,2012
BSBA,Bachelor Of Science In Business Administration,104,1st,2012
BSCS,Bachelor Of Science In Computer Science,201,1st,2012
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,66,1st,2012
BSIT,Bachelor Of Science In Information Technology,440,1st,2012
CRIM,Bachelor Of Science In Criminology,295,1st,2012
BEEd,Bachelor Of Elementary Education,287,1st,2012
BSEd,Bachelor Of Secondary Education,125,1st,2012
BSCE,Bachelor Of Science In Civil Engineering,69,1st,2012
BSCpE,Bachelor Of Science In Computer Engineering,162,1st,2012
BSEE,Bachelor Of Science In Electrical Engineering,346,1st,2012
BSHM,Bachelor Of Science In Hospitality Management,148,1st,2012
BSTM,Bachelor Of Science In Tourism Management,459,1st,2012
BSBIO,Bachelor Of Science In Biology,391,1st,2012
BIT,Bachelor In Industrial Technology,333,1st,2012
BSF,Bachelor Of Science In Fisheries,350,1st,2012
BSM,Bachelor Of Science In Midwifery,64,1st,2012
BSN,Bachelor Of Science In Nursing,297,1st,2012
BSAg,Bachelor of Science in Agriculture,64,2nd,2012
BAC,Bachelor Of Arts In Communication,294,2nd,2012
POLSCI,Bachelor Of Arts In Political Science,385,2nd,2012
BSSW,Bachelor Of Science In Social Work,215,2nd,2012
BSA,Bachelor Of Science In Accountancy,466,2nd,2012
BSAIS,Bachelor Of Science In Accounting Information System,382,2nd,2012
Entrep,Bs In Entrepreneurship,246,2nd,2012
BSBA,Bachelor Of Science In Business Administration,188,2nd,2012
BSCS,Bachelor Of Science In Computer Science,280,2nd,2012
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,109,2nd,2012
BSIT,Bachelor Of Science In Information Technology,498,2nd,2012
CRIM,Bachelor Of Science In Criminology,118,2nd,2012
BEEd,Bachelor Of Elementary Education,446,2nd,2012
BSEd,Bachelor Of Secondary Education,50,2nd,2012
BSCE,Bachelor Of Science In Civil Engineering,368,2nd,2012
BSCpE,Bachelor Of Science In Computer Engineering,400,2nd,2012
BSEE,Bachelor Of Science In Electrical Engineering,348,2nd,2012
BSHM,Bachelor Of Science In Hospitality Management,349,2nd,2012
BSTM,Bachelor Of Science In Tourism Management,299,2nd,2012
BSBIO,Bachelor Of Science In Biology,384,2nd,2012
BIT,Bachelor In Industrial Technology,375,2nd,2012
BSF,Bachelor Of Science In Fisheries,142,2nd,2012
BSM,Bachelor Of Science In Midwifery,66,2nd,2012
BSN,Bachelor Of Science In Nursing,121,2nd,2012
BSAg,Bachelor of Science in Agriculture,94,Summer,2012
BAC,Bachelor Of Arts In Communication,332,Summer,2012
POLSCI,Bachelor Of Arts In Political Science,298,Summer,2012
BSSW,Bachelor Of Science In Social Work,150,Summer,2012
BSA,Bachelor Of Science In Accountancy,449,Summer,2012
BSAIS,Bachelor Of Science In Accounting Information System,356,Summer,2012
Entrep,Bs In Entrepreneurship,352,Summer,2012
BSBA,Bachelor Of Science In Business Administration,138,Summer,2012
BSCS,Bachelor Of Science In Computer Science,435,Summer,2012
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,308,Summer,2012
BSIT,Bachelor Of Science In Information Technology,151,Summer,2012
CRIM,Bachelor Of Science In Criminology,175,Summer,2012
BEEd,Bachelor Of Elementary Education,209,Summer,2012
BSEd,Bachelor Of Secondary Education,283,Summer,2012
BSCE,Bachelor Of Science In Civil Engineering,483,Summer,2012
BSCpE,Bachelor Of Science In Computer Engineering,318,Summer,2012
BSEE,Bachelor Of Science In Electrical Engineering,112,Summer,2012
BSHM,Bachelor Of Science In Hospitality Management,323,Summer,2012
BSTM,Bachelor Of Science In Tourism Management,99,Summer,2012
BSBIO,Bachelor Of Science In Biology,78,Summer,2012
BIT,Bachelor In Industrial Technology,105,Summer,2012
BSF,Bachelor Of Science In Fisheries,228,Summer,2012
BSM,Bachelor Of Science In Midwifery,462,Summer,2012
BSN,Bachelor Of Science In Nursing,187,Summer,2012
BSAg,Bachelor of Science in Agriculture,278,1st,2013
BAC,Bachelor Of Arts In Communication,197,1st,2013
POLSCI,Bachelor Of Arts In Political Science,241,1st,2013
BSSW,Bachelor Of Science In Social Work,205,1st,2013
BSA,Bachelor Of Science In Accountancy,80,1st,2013
BSAIS,Bachelor Of Science In Accounting Information System,272,1st,2013
Entrep,Bs In Entrepreneurship,231,1st,2013
BSBA,Bachelor Of Science In Business Administration,151,1st,2013
BSCS,Bachelor Of Science In Computer Science,229,1st,2013
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,300,1st,2013
BSIT,Bachelor Of Science In Information Technology,463,1st,2013
CRIM,Bachelor Of Science In Criminology,107,1st,2013
BEEd,Bachelor Of Elementary Education,426,1st,2013
BSEd,Bachelor Of Secondary Education,57,1st,2013
BSCE,Bachelor Of Science In Civil Engineering,60,1st,2013
BSCpE,Bachelor Of Science In Computer Engineering,496,1st,2013
BSEE,Bachelor Of Science In Electrical Engineering,91,1st,2013
BSHM,Bachelor Of Science In Hospitality Management,119,1st,2013
BSTM,Bachelor Of Science In Tourism Management,77,1st,2013
BSBIO,Bachelor Of Science In Biology,359,1st,2013
BIT,Bachelor In Industrial Technology,104,1st,2013
BSF,Bachelor Of Science In Fisheries,432,1st,2013
BSM,Bachelor Of Science In Midwifery,117,1st,2013
BSN,Bachelor Of Science In Nursing,119,1st,2013
BSAg,Bachelor of Science in Agriculture,379,2nd,2013
BAC,Bachelor Of Arts In Communication,156,2nd,2013
POLSCI,Bachelor Of Arts In Political Science,365,2nd,2013
BSSW,Bachelor Of Science In Social Work,285,2nd,2013
BSA,Bachelor Of Science In Accountancy,173,2nd,2013
BSAIS,Bachelor Of Science In Accounting Information System,450,2nd,2013
Entrep,Bs In Entrepreneurship,376,2nd,2013
BSBA,Bachelor Of Science In Business Administration,183,2nd,2013
BSCS,Bachelor Of Science In Computer Science,128,2nd,2013
BSEMC,Bachelor Of Science In Entertainment And Multimedia Computing,83,2nd,2013
BSIT,Bachelor Of Science In Information Technology,306,2nd,2013
CRIM,Bachelor Of Science In Criminology,485,2nd,2013
